transaction_id;transaction_date;item_id;quantity;purchased_from;sold_to;transaction_type
DQ-00001;01 January 2020;OA0001;1000;DQLab-14;;buy
DQ-00002;01 January 2020;OA0003;2000;DQLab-02;;buy
DQ-00003;01 January 2020;OA0004;3000;DQLab-13;;buy
DQ-00004;01 January 2020;OA0005;2000;DQLab-10;;buy
DQ-00005;01 January 2020;OA0006;1000;DQLab-01;;buy
DQ-00006;01 January 2020;OB0001;2000;DQLab-08;;buy
DQ-00007;01 January 2020;OB0002;3000;DQLab-01;;buy
DQ-00008;01 January 2020;OB0004;2000;DQLab-06;;buy
DQ-00009;01 January 2020;OB0006;2000;DQLab-12;;buy
DQ-00010;01 January 2020;OB00007;2000;DQLab-01;;buy
DQ-00011;01 January 2020;OB0008;1000;DQLab-02;;buy
DQ-00012;01 January 2020;OD0001;2000;DQLab-05;;buy
DQ-00013;01 January 2020;OD0002;1000;DQLab-07;;buy
DQ-00014;01 January 2020;OD0005;1000;DQLab-16;;buy
DQ-00015;01 January 2020;OD0006;2000;DQLab-16;;buy
DQ-00016;01 January 2020;OD0007;2000;DQLab-06;;buy
DQ-00017;01 January 2020;OD0008;2000;;;buy
DQ-00018;01 January 2020;OD0009;1000;DQLab-10;;buy
DQ-00019;01 January 2020;OD0010;1000;DQLab-12;;buy
DQ-00020;01 January 2020;OD0011;2000;DQLab-03;;buy
DQ-00021;01 January 2020;OH0001;2000;DQLab-15;;buy
DQ-00022;01 January 2020;OH0002;1000;DQLab-11;;buy
DQ-00023;01 January 2020;OH0003;1000;DQLab-16;;buy
DQ-00024;01 January 2020;OH0004;2000;DQLab-09;;buy
DQ-00025;01 January 2020;OH0005;1000;DQLab-09;;buy
DQ-00026;01 January 2020;OH0006;1000;DQLab-16;;buy
DQ-00027;01 January 2020;OH0007;200;DQLab-10;;buy
DQ-00028;01 January 2020;OK0001;200;DQLab-03;;buy
DQ-00029;01 January 2020;OK0002;2000;DQLab-12;;buy
DQ-00030;01 January 2020;OK0003;500;DQLab-01\;;buy
DQ-00031;01 January 2020;OT0001;1000;DQLab-02;;buy
DQ-00032;02 January 2020;OB0002;53;;RS DQLab;sell
DQ-00033;02 January 2020;OA0005;2;;RS DQLab;sell
DQ-00034;02 January 2020;OA0005;77;;RS DQLab;sell
